Raman Shift [cm-1],Polystyrene beads on glass slide - 4
76.48,35
82.51,29
88.54,16
94.56,10
100.58,19
106.59,17
112.6,16
118.61,11
124.61,12
130.6,11
136.59,10
142.58,16
148.56,11
154.54,14
160.51,9
166.47,14
172.44,23
178.4,48
184.35,70
190.3,99
196.24,111
202.18,138
208.12,146
214.05,175
219.97,184
225.89,210
231.81,233
237.72,246
243.63,267
249.53,286
255.43,305
261.32,317
267.22,343
273.1,367
278.98,384
284.85,404
290.73,425
296.59,455
302.46,473
308.31,489
314.16,526
320.01,530
325.86,563
331.7,583
337.53,604
343.36,631
349.19,653
355.01,693
360.83,696
366.64,725
372.45,748
378.25,776
384.05,797
389.84,833
395.64,866
401.42,890
407.2,920
412.98,932
418.75,952
424.52,979
430.28,992
436.04,1029
441.8,1026
447.55,1061
453.3,1080
459.04,1099
464.77,1098
470.51,1116
476.23,1127
481.96,1129
487.68,1156
493.39,1154
499.11,1175
504.81,1162
510.51,1166
516.21,1148
521.91,1133
527.59,1137
533.28,1137
538.96,1137
544.64,1146
550.31,1157
555.98,1148
561.64,1159
567.3,1170
572.95,1170
578.6,1179
584.25,1197
589.89,1214
595.53,1223
601.16,1231
606.79,1239
612.41,1266
618.04,1280
623.65,1310
629.26,1329
634.87,1313
640.47,1278
646.07,1279
651.67,1267
657.26,1261
662.84,1262
668.43,1281
674.01,1269
679.58,1271
685.15,1265
690.71,1269
696.27,1276
701.83,1276
707.38,1285
712.93,1253
718.48,1267
724.02,1276
729.55,1257
735.08,1238
740.61,1247
746.13,1251
751.65,1248
757.17,1254
762.68,1246
768.19,1248
773.69,1242
779.19,1210
784.68,1214
790.17,1214
795.66,1204
801.14,1208
806.62,1185
812.09,1164
817.56,1142
823.02,1107
828.49,1082
833.94,1077
839.4,1062
844.84,1060
850.29,1042
855.73,1045
861.17,1015
866.6,997
872.03,1001
877.45,988
882.87,982
888.29,969
893.7,999
899.11,999
904.51,1003
909.91,1013
915.31,1018
920.7,1010
926.09,1021
931.47,1031
936.85,1039
942.23,1044
947.6,1049
952.97,1100
958.33,1099
963.69,1111
969.05,1121
974.4,1159
979.75,1186
985.09,1207
990.43,1252
995.77,1311
1001.1,1487
1006.43,1674
1011.75,1676
1017.07,1522
1022.39,1437
1027.7,1449
1033.01,1519
1038.31,1570
1043.61,1570
1048.91,1549
1054.2,1561
1059.49,1551
1064.78,1575
1070.06,1584
1075.33,1616
1080.61,1634
1085.87,1657
1091.14,1683
1096.4,1678
1101.66,1709
1106.91,1717
1112.16,1732
1117.41,1733
1122.65,1733
